text;intent
Здраствуйте, у нас нету глубины в вокале, можно обратиться к вам с этим вопросом?;arrangement
Какая цена на аранжировку?;arrangement
нужно сделать аранжировку для последней песни в альбоме;arrangement
сделайте качественную аранжировку;arrangement
есть песня хочу добавить аранжировку;arrangement
Хочу заказать аранжировку гармоничных звуков поверх партии гитары;arrangement
сколько будет стоить ваша помощь в аринжировке предрелизного сингла;arrangement
сколько стоит запись вокала?;recording
у вас есть студия для записи вокала?;recording
хочу записать свою песню;recording
хочу записать вокал;recording
нужно спеть песню;recording
Здраствуйте скоро быдет релиз, и мы хотим доработать нашу обложку;album_cover
срочно нужна обложка для альбома;album_cover
Нужно сделать обложку к альбому;album_cover
можно у вас сделать фотосессию для обложки?;album_cover
мне нужно сделать обложку к синглу;album_cover
Мне нужна обложка что бы там черепа были;album_cover
сколько стоит редактирование обожки?;album_cover
хочу сделать дизайн обложки;album_cover
хочу чтобы мои песни чаще попадали в подборки на яндекс музыке;promotion
Сколько будет стоит реклама альбома?;promotion
Хочу быстрее раскрутить группу, есть небольшой бюджет;promotion
нужна раскрутка трека;promotion
А сколько будет стоить продвинуть мой сингл;promotion
здраствуйте, помогите треку пробится в чарты радио;promotion
можно через вас послать сингл на конкурс?;promotion
сколько стоит продвижение группы в вк?;promotion
а раскрутить её как потом?;promotion
Готовим альбом, нужна помощь с выпуском на яндекс музыке и spotify;release
Хотим сделать релиз на всех платформах сразу;release
Расскажите про условия партнёрства;release
подготовил демку, хочу зарелизить её в ютюб музыке;release
сейчас делаем пост продакшн альбома, нужно его выпустить в спотифай;release
хочу выпустить альбом;release
хочу наконец выпустить демку на спотифае;release
можно дешевле?;trade
у нас всего 12 тысяч;trade
как можно снизить цену?;trade
Так, а скидки будут ?;trade
это слишком дорого;trade
для нас это дорого;trade
почему такие высокие цены?;trade
уместен ли торг если будет своя обложка?;trade
1234;other
Привет;other
Почему?;other
спой песню;other
я рок легенда;other
а сколько по твоему будет 7 * 25?;other
меня зовут Алексей;other
что за музыка?;other
это я лежу;other
то есть изначально у тебя уже были яблоки?;other
если 5 рабочих делают за 5 минут 5 деталей, то сколько смогут деталей сделать 100 рабочих за 5 минут?;other
А теперь как тебя зовут?;name
Назови своё имя;name
как к тебе обращаться;name
меня Алексей, а тебя?;name
как тебя завут?;name
кто ты?;name
что ты вообще такое?;name
а завут?;name
а зовут?;name
а зовут?;name
что ты умеешь?;description
для чего тебя создали?;description
что ты можешь для меня сделать?;description
отлично, жду твоей помощи;description
жду от тебя хоть какой-то помощи;description
Вы делаете песни?;description
Круто, что ещё можете предложить?;description
какие услуги вы предоставляете?;description
какие услуги у вас есть?;description
